iter	MAE	RMSE
0	2.155620096	2.608433548
1	2.096566764	2.549208456
2	2.046349144	2.499137752
3	2.004547606	2.457519778
4	1.971742294	2.422483879
5	1.943742175	2.392622029
6	1.918526382	2.366878041
7	1.897394145	2.345741208
8	1.879004312	2.328237888
9	1.862276228	2.312984967
10	1.847401076	2.3000694
11	1.835071748	2.289497277
12	1.823956692	2.280020605
13	1.814908853	2.272554257
14	1.806697068	2.265850665
15	1.799906825	2.2605323
16	1.793543091	2.25558038
17	1.788100143	2.251425318
18	1.783319452	2.247949494
19	1.778987031	2.244860644
20	1.775352132	2.242381531
21	1.770012105	2.237889212
22	1.765176702	2.234024462
23	1.761550438	2.23127924
24	1.758445805	2.228921163
25	1.754749355	2.226156074
26	1.751418073	2.223697642
27	1.748719647	2.221948602
28	1.7467243	2.220652707
29	1.74473706	2.219412899
30	1.742634447	2.217987498
31	1.740712024	2.216784013
32	1.738862003	2.215630876
33	1.737537821	2.214778317
34	1.736165058	2.213943288
35	1.735082049	2.213286703
36	1.733497514	2.21222319
37	1.732430113	2.211596757
38	1.731376572	2.211007541
39	1.730134376	2.210232135
40	1.72890774	2.209359467
41	1.727765738	2.208516406
42	1.727039047	2.208069158
43	1.726098252	2.207447893
44	1.725456292	2.20712234
45	1.724868812	2.20675804
46	1.724247054	2.206462214
47	1.723447432	2.20592523
48	1.722777713	2.20558643
49	1.722069249	2.205134589
50	1.721650436	2.204936425
51	1.721175611	2.204714413
52	1.720741643	2.204473639
53	1.720160916	2.204100396
54	1.719685572	2.203818068
55	1.719145664	2.203476142
56	1.718632396	2.203191273
57	1.718167147	2.202851022
58	1.717686376	2.202591025
59	1.717359269	2.202410287
60	1.717099401	2.202265353
61	1.716953168	2.202180842
62	1.716652401	2.202006575
63	1.716384957	2.20180173
64	1.716145352	2.201638478
65	1.715847361	2.201477273
66	1.715452499	2.201103446
67	1.715237417	2.200912611
68	1.714867376	2.200683266
69	1.714628923	2.200570082
70	1.714415403	2.200420148
71	1.7142384	2.200323492
72	1.713865836	2.200088819
73	1.713632278	2.199868303
74	1.713306047	2.19961087
75	1.713107204	2.199474005
76	1.712770327	2.199276337
77	1.712472646	2.19913468
78	1.712174589	2.198964978
79	1.711757342	2.198648978
80	1.711463071	2.198350203
81	1.711226485	2.198142868
82	1.711060268	2.198055967
83	1.710822507	2.197953247
84	1.710564813	2.197714989
85	1.710445472	2.197598729
86	1.710191248	2.197381766
87	1.710048986	2.197273748
88	1.709841999	2.197122978
89	1.709660257	2.196986292
90	1.709371764	2.196805143
91	1.709192303	2.196704091
92	1.709074556	2.196590289
93	1.708880887	2.196435354
94	1.708697865	2.19626229
95	1.708597126	2.196146241
96	1.708468652	2.196051648
97	1.708343103	2.195946076
98	1.708145766	2.195773336
99	1.707921266	2.195583053
100	1.707784021	2.195493985
101	1.707634715	2.195362245
102	1.707435127	2.195210699
103	1.707356209	2.195119069
104	1.707162159	2.194973303
105	1.707028715	2.194896245
106	1.706888101	2.194756756
107	1.70664864	2.194563144
108	1.706479187	2.194410285
109	1.706341528	2.19430011
110	1.706264577	2.194226848
111	1.706081729	2.19409319
112	1.705922541	2.193951345
113	1.705795843	2.193800916
114	1.705612329	2.193688011
115	1.705450944	2.193597086
116	1.705310576	2.193472109
117	1.705214919	2.193412575
118	1.705007449	2.193277532
119	1.70489418	2.193151519
120	1.70482245	2.193083702
121	1.704705075	2.192997377
122	1.704475515	2.192802056
123	1.70430694	2.192683791
124	1.704264625	2.19263828
125	1.704128766	2.192540367
126	1.704036452	2.192473072
127	1.703811789	2.192338965
128	1.703765707	2.192274614
129	1.703677757	2.192213473
130	1.703605599	2.192135603
131	1.703471816	2.192038895
132	1.703371057	2.191978294
133	1.703298327	2.191913306
134	1.703158773	2.191818439
135	1.703019671	2.191701931
136	1.702945551	2.191654788
137	1.702850189	2.191573379
138	1.702809698	2.191542782
139	1.702594952	2.191399305
140	1.702446626	2.191267255
141	1.702361043	2.191184817
142	1.702212666	2.1910653
143	1.70211472	2.190931672
144	1.702075367	2.190880379
145	1.701987914	2.190799079
146	1.701814212	2.190663566
147	1.701688903	2.190596385
148	1.701601479	2.190519244
149	1.701535514	2.190481051
150	1.70137024	2.190306335
151	1.701187807	2.19019934
152	1.701161367	2.190126287
153	1.701034138	2.189999479
154	1.700908792	2.189885354
155	1.700870655	2.189826057
156	1.700821452	2.189757659
157	1.700694264	2.189640775
158	1.700611576	2.189587077
159	1.700501784	2.189481985
160	1.700458339	2.189427695
161	1.700362789	2.189391804
162	1.700337314	2.189357848
163	1.70022794	2.189250083
164	1.700036592	2.189116063
165	1.699964131	2.189065897
166	1.699804012	2.188926468
