iter	Passed	Remaining
0	193	192926
1	304	152093
2	411	136887
3	519	129398
4	618	123036
5	705	116847
6	794	112688
7	882	109462
8	972	107083
9	1055	104509
10	1156	103943
11	1254	103274
12	1358	103162
13	1438	101281
14	1519	99773
15	1607	98888
16	1686	97532
17	1782	97228
18	1871	96620
19	1961	96127
20	2059	96023
21	2131	94745
22	2189	93014
23	2234	90884
24	2281	88983
25	2359	88379
26	2397	86415
27	2439	84672
28	2474	82843
29	2542	82203
30	2593	81062
31	2647	80074
32	2697	79049
33	2749	78118
34	2826	77919
35	2888	77344
36	2960	77065
37	3011	76242
38	3067	75584
39	3156	75767
40	3225	75447
41	3277	74767
42	3354	74653
43	3404	73972
44	3445	73123
45	3538	73387
46	3622	73455
47	3661	72622
48	3712	72044
49	3758	71414
50	3824	71162
51	3875	70650
52	3955	70669
53	4024	70506
54	4078	70081
55	4147	69916
56	4200	69492
57	4260	69195
58	4334	69133
59	4386	68725
60	4429	68182
61	4478	67759
62	4569	67963
63	4662	68183
64	4718	67877
65	4763	67408
66	4826	67210
67	4902	67190
68	4994	67385
69	5033	66878
70	5105	66803
71	5204	67079
72	5262	66829
73	5321	66589
74	5382	66386
75	5447	66231
76	5532	66317
77	5589	66068
78	5693	66378
79	5787	66552
80	5922	67189
81	6048	67717
82	6148	67926
83	6224	67876
84	6355	68414
85	6451	68560
86	6557	68814
87	6623	68639
88	6703	68617
89	6823	68990
90	6895	68877
91	6984	68929
92	7075	69000
93	7159	69006
94	7228	68858
95	7305	68794
96	7362	68539
97	7435	68436
98	7487	68147
99	7535	67823
100	7595	67608
101	7653	67378
102	7706	67115
103	7826	67424
104	7919	67504
105	8006	67530
106	8098	67589
107	8206	67782
108	8273	67626
109	8331	67410
110	8413	67380
111	8492	67335
112	8551	67122
113	8594	66794
114	8667	66700
115	8751	66694
116	8843	66744
117	8891	66463
118	8978	66473
119	9031	66230
120	9097	66086
121	9148	65837
122	9233	65835
123	9298	65686
124	9350	65453
125	9428	65403
126	9519	65437
127	9619	65531
128	9706	65539
129	9777	65435
130	9813	65098
131	9905	65138
132	9969	64987
133	9999	64621
134	10071	64533
135	10135	64391
136	10187	64173
137	10280	64216
138	10326	63962
139	10391	63833
140	10472	63802
141	10560	63811
142	10661	63897
143	10747	63888
144	10787	63608
145	10844	63432
146	10948	63528
147	11052	63628
148	11110	63457
149	11178	63345
150	11239	63195
151	11297	63029
152	11382	63013
153	11444	62872
154	11536	62895
155	11628	62911
156	11667	62647
157	11738	62558
158	11809	62463
159	11921	62587
160	12012	62597
161	12087	62525
162	12166	62475
163	12257	62484
164	12322	62360
165	12391	62258
166	12439	62049
167	12517	61989
168	12592	61920
169	12647	61749
170	12699	61567
171	12782	61532
172	12862	61489
173	12913	61304
174	13000	61290
175	13062	61158
176	13137	61084
177	13213	61019
178	13242	60735
179	13292	60556
180	13364	60470
181	13449	60446
182	13528	60397
183	13603	60326
184	13684	60287
185	13756	60204
186	13821	60089
187	13885	59971
188	13965	59925
189	14044	59872
190	14105	59745
191	14159	59586
192	14259	59622
193	14351	59626
194	14415	59509
195	14494	59455
196	14597	59499
197	14664	59399
198	14756	59396
199	14884	59536
200	14994	59605
201	15090	59613
202	15142	59451
203	15223	59403
204	15267	59209
205	15378	59273
206	15446	59174
207	15513	59070
208	15584	58982
209	15638	58831
210	15716	58767
211	15766	58604
212	15815	58437
213	15921	58478
214	16026	58515
215	16085	58383
216	16148	58267
217	16188	58071
218	16277	58048
219	16329	57895
220	16395	57792
221	16490	57792
222	16586	57791
223	16651	57685
224	16750	57695
225	16802	57544
226	16903	57562
227	16981	57497
228	17051	57409
229	17123	57325
230	17216	57313
